rule,precision,recall,f1,coverage,lift,n_flagged,n_fraud_hit,n_fraud_total,n_conditions,source
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Transaction Amount (EUR) > 9.94 AND Merchant Transaction Count > 5049.50,0.0082,0.7222,0.0163,0.138449,5.22,3154,26,36,6,surrogate_d6_true_label
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count <= 5049.50 AND Transaction Amount (EUR) > 15.88,0.0071,0.0278,0.0113,0.006189,4.49,141,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Card Average Amount (EUR) <= 99.99 AND Log Transaction Amount > 2.77,0.0065,0.5833,0.0129,0.141082,4.13,3214,21,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count > 5049.50 AND Day of Month <= 30.50,0.0064,0.5278,0.0126,0.131162,4.02,2988,19,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count > 5049.50,0.0064,0.5278,0.0126,0.131162,4.02,2988,19,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Transaction Amount (EUR) > 9.94,0.0062,0.9444,0.0122,0.242483,3.89,5524,34,36,5,surrogate_d5_true_label
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Card Average Amount (EUR) <= 99.99,0.0061,0.5833,0.0121,0.151179,3.86,3444,21,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND Transaction Amount (EUR) > 9.91,0.0061,0.5833,0.012,0.151969,3.84,3462,21,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50,0.006,0.5833,0.0119,0.153286,3.81,3492,21,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount (EUR) <= 111.06 AND Transaction Amount Capped (EUR) > 9.91,0.0058,0.5833,0.0115,0.158597,3.68,3613,21,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount > 5.79 AND CVV Used = Yes,0.0057,0.0278,0.0094,0.007726,3.6,176,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 4.72,0.0057,0.5833,0.0113,0.161889,3.6,3688,21,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Transaction Amount (EUR) > 9.88,0.0057,0.5833,0.0112,0.162636,3.59,3705,21,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 5.79 AND Amount Deviation from Card Avg (EUR) > -0.00,0.0052,0.6111,0.0104,0.184013,3.32,4192,22,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89,0.0051,0.5833,0.0102,0.179097,3.26,4080,21,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 5.79,0.0049,0.9167,0.0098,0.293666,3.12,6690,33,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50,0.0046,0.9444,0.0091,0.325315,2.9,7411,34,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 5.79 AND Amount Deviation from Card Avg (EUR) <= -0.00,0.0044,0.3056,0.0087,0.109653,2.79,2498,11,36,6,surrogate_d6_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 395.92 AND Card Average Amount (EUR) > 13.63 AND Card Average Amount (EUR) <= 103.53 AND Transaction Success = Yes,0.0038,0.0278,0.0067,0.011501,2.42,262,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06,0.0037,0.9722,0.0075,0.410474,2.37,9351,35,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Transaction Amount (EUR) > 9.94 AND Merchant Transaction Count <= 5049.50,0.0034,0.2222,0.0067,0.104034,2.14,2370,8,36,6,surrogate_d6_true_label
CVV Used = Yes AND Hours Since Last Card Transaction > 395.92 AND Card Average Amount (EUR) > 13.63 AND Card Average Amount (EUR) <= 103.53,0.0028,0.0278,0.0052,0.015451,1.8,352,1,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND CVV Used = Yes AND Transaction Amount Capped (EUR) > 5.37 AND Merchant Transaction Count <= 7649.50,0.0028,0.2222,0.0056,0.124577,1.78,2838,8,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count <= 5049.50,0.0028,0.0556,0.0053,0.031474,1.77,717,2,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount (EUR) <= 111.06 AND CVV Used = Yes AND Transaction Amount Capped (EUR) > 5.37,0.0026,0.3889,0.0052,0.235372,1.65,5362,14,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 4.72 AND CVV Used = Yes,0.0025,0.3889,0.0049,0.248584,1.56,5663,14,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND CVV Used = Yes AND Transaction Amount Capped (EUR) > 5.37 AND Merchant Transaction Count > 7649.50,0.0024,0.1667,0.0047,0.110794,1.5,2524,6,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) > 111.06 AND Merchant Transaction Count <= 7649.50,0.002,0.0278,0.0038,0.021509,1.29,490,1,36,6,surrogate_d6_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 395.92 AND Card Average Amount (EUR) > 13.63,0.0017,0.0278,0.0033,0.025109,1.11,572,1,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count <= 5049.50 AND Transaction Amount (EUR) <= 15.88,0.0017,0.0278,0.0033,0.025284,1.1,576,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount (EUR) > 111.06 AND Merchant Transaction Count <= 7649.50,0.0014,0.0278,0.0027,0.03143,0.88,716,1,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount > 4.72,0.0013,0.0278,0.0025,0.033668,0.83,767,1,36,4,surrogate_d4_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 501.48 AND Merchant Transaction Count > 4381,0.0,0.0,0.0,0.006014,0.0,137,0,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) > 1.50 AND Email Domain Frequency > 0.00 AND Merchant Transaction Count <= 552 AND Merchant Transaction Count > 527.50,0.0,0.0,0.0,0.000527,0.0,12,0,36,6,surrogate_d6_true_label
CVV Used = Yes AND Hours Since Last Card Transaction > 501.48 AND Merchant Transaction Count > 4381 AND Transaction Success = Yes,0.0,0.0,0.0,0.003819,0.0,87,0,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) > 1.50 AND Email Domain Frequency <= 0.00,0.0,0.0,0.0,0.001931,0.0,44,0,36,4,surrogate_d4_true_label
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Card Average Amount (EUR) <= 99.99 AND Log Transaction Amount <= 2.77 AND Merchant Transaction Count <= 268,0.0,0.0,0.0,0.000878,0.0,20,0,36,6,surrogate_d6_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 501.48 AND Merchant Transaction Count > 4381 AND Transaction Success = Yes AND Log Transaction Amount > 2.69,0.0,0.0,0.0,0.002151,0.0,49,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Card Txn Count (last 30 days) <= 6.50 AND Merchant Transaction Count <= 3376,0.0,0.0,0.0,0.012071,0.0,275,0,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Card Txn Count (last 30 days) <= 6.50,0.0,0.0,0.0,0.022124,0.0,504,0,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 5.37 AND CVV Used = Yes AND Merchant Transaction Count <= 237.50,0.0,0.0,0.0,0.000527,0.0,12,0,36,5,surrogate_d6_model_score
Merchant Transaction Count <= 24.50 AND Transaction Amount Capped (EUR) > 250.50 AND Email Domain Frequency <= 0.06 AND Email Domain Frequency > 0.00,0.0,0.0,0.0,0.000439,0.0,10,0,36,5,surrogate_d5_model_score
Merchant Transaction Count <= 24.50 AND Transaction Amount Capped (EUR) > 250.50 AND Email Domain Frequency <= 0.00,0.0,0.0,0.0,0.000132,0.0,3,0,36,4,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count > 16631.50 AND Initial Recurring = Yes,0.0,0.0,0.0,0.000263,0.0,6,0,36,4,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND Transaction Amount (EUR) <= 9.91 AND Email Domain Frequency > 0.08,0.0,0.0,0.0,0.0018,0.0,41,0,36,6,surrogate_d6_model_score
Merchant Transaction Count <= 24.50 AND Transaction Amount Capped (EUR) > 250.50 AND Email Domain Frequency <= 0.06,0.0,0.0,0.0,0.000571,0.0,13,0,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count <= 2954 AND Card Txn Count (last 1 day) <= 1.50,0.0,0.0,0.0,0.036741,0.0,837,0,36,4,surrogate_d4_model_score
Merchant Transaction Count <= 24.50 AND Transaction Amount Capped (EUR) > 250.50,0.0,0.0,0.0,0.001317,0.0,30,0,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count > 16631.50,0.0,0.0,0.0,0.000658,0.0,15,0,36,3,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount (EUR) > 111.06 AND Recurring Transaction = Yes AND Card Average Amount (EUR) <= 138.18,0.0,0.0,0.0,0.011369,0.0,259,0,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count <= 2954 AND Card Txn Count (last 1 day) <= 1.50 AND Hours Since Last Card Transaction > 24.19,0.0,0.0,0.0,0.036127,0.0,823,0,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND Transaction Amount (EUR) > 9.91 AND Initial Recurring = Yes,0.0,0.0,0.0,0.006628,0.0,151,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count > 16631.50 AND Initial Recurring = Yes AND Email Domain Frequency <= 0.01,0.0,0.0,0.0,4.4e-05,0.0,1,0,36,5,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count <= 2954 AND Card Txn Count (last 1 day) <= 1.50 AND Hours Since Last Card Transaction <= 24.19 AND Amount Deviation from Card Avg (EUR) > -0.09,0.0,0.0,0.0,0.000176,0.0,4,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) > 111.06 AND Recurring Transaction = Yes AND Card Average Amount (EUR) <= 138.18 AND Transaction Amount (EUR) <= 122.98,0.0,0.0,0.0,0.000351,0.0,8,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) > 1.50 AND Merchant Transaction Count <= 2954 AND Card Txn Count (last 1 day) <= 1.50 AND Hours Since Last Card Transaction > 24.19 AND Transaction Amount (EUR) <= 96.97,0.0,0.0,0.0,0.029147,0.0,664,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) > 111.06 AND Merchant Transaction Count <= 7649.50 AND 3DS Used = Yes,0.0,0.0,0.0,0.009921,0.0,226,0,36,6,surrogate_d6_model_score
Hour Sin > 0.92 AND GeoIP/Billing Country Mismatch = Yes AND Day of Month > 15.50 AND Day of Month <= 25.50,0.0,0.0,0.0,0.002195,0.0,50,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) > 128.89 AND Card Txn Count (last 14 days) <= 0.50 AND Amount Deviation from Card Avg (EUR) > -0.09,0.0,0.0,0.0,0.000746,0.0,17,0,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Average Amount (EUR) > 128.89 AND Card Txn Count (last 14 days) > 0.50 AND Transaction Hour <= 2.50,0.0,0.0,0.0,0.000263,0.0,6,0,36,5,surrogate_d5_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 395.92 AND Card Average Amount (EUR) <= 13.63 AND Hour Cos <= -0.98,0.0,0.0,0.0,0.000615,0.0,14,0,36,5,surrogate_d5_model_score
CVV Used = Yes AND Hours Since Last Card Transaction > 395.92 AND Card Average Amount (EUR) <= 13.63 AND Hour Cos <= -0.98 AND Log Transaction Amount > 2.47,0.0,0.0,0.0,0.000307,0.0,7,0,36,6,surrogate_d6_model_score
CVV Used = Yes AND Hours Since Last Card Transaction <= 395.92 AND Card Txn Count (last 1 day) <= 1.50 AND Email Domain Frequency <= 0.00 AND Merchant Transaction Count <= 1553.50,0.0,0.0,0.0,0.000395,0.0,9,0,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) > 128.89 AND Card Txn Count (last 30 days) > 0.50 AND Transaction Hour <= 2.50,0.0,0.0,0.0,0.000263,0.0,6,0,36,5,surrogate_d6_model_score
